/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
init done
Epoch 1: loss=3.30265
Epoch 2: loss=2.90173
Epoch 3: loss=2.84735
Epoch 4: loss=2.78956
Epoch 5: loss=2.72669
Epoch 6: loss=2.64633
Epoch 7: loss=2.57864
Epoch 8: loss=2.50165
Epoch 9: loss=2.43133
Epoch 10: loss=2.36075
Epoch 11: loss=2.29231
Epoch 12: loss=2.23401
Epoch 13: loss=2.17280
Epoch 14: loss=2.11400
Epoch 15: loss=2.06159
Epoch 16: loss=2.01213
Epoch 17: loss=1.96620
Epoch 18: loss=1.91746
Epoch 19: loss=1.87341
Epoch 20: loss=1.83342
Epoch 21: loss=1.77994
Epoch 22: loss=1.74627
Epoch 23: loss=1.71768
Epoch 24: loss=1.67715
Epoch 25: loss=1.64516
Epoch 26: loss=1.61810
Epoch 27: loss=1.57666
Epoch 28: loss=1.55800
Epoch 29: loss=1.52441
Epoch 30: loss=1.49726
Epoch 31: loss=1.45888
Epoch 32: loss=1.41611
Epoch 33: loss=1.39101
Epoch 34: loss=1.36660
Epoch 35: loss=1.34085
Epoch 36: loss=1.31239
Epoch 37: loss=1.28400
Epoch 38: loss=1.26681
Epoch 39: loss=1.23965
Epoch 40: loss=1.22148
Epoch 41: loss=1.20080
Epoch 42: loss=1.17703
Epoch 43: loss=1.15697
Epoch 44: loss=1.14151
Epoch 45: loss=1.12098
Epoch 46: loss=1.10626
Epoch 47: loss=1.09012
Epoch 48: loss=1.07455
Epoch 49: loss=1.05328
Epoch 50: loss=1.04009
Epoch 51: loss=1.03133
Epoch 52: loss=1.01206
Epoch 53: loss=0.99463
Epoch 54: loss=0.97762
Epoch 55: loss=0.96245
Epoch 56: loss=0.95260
Epoch 57: loss=0.94054
Epoch 58: loss=0.92573
Epoch 59: loss=0.91482
Epoch 60: loss=0.89659
Epoch 61: loss=0.89101
Epoch 62: loss=0.87898
Epoch 63: loss=0.86189
Epoch 64: loss=0.85290
Epoch 65: loss=0.85590
Epoch 66: loss=0.83960
Epoch 67: loss=0.82631
Epoch 68: loss=0.81559
Epoch 69: loss=0.80493
Epoch 70: loss=0.79737
Epoch 71: loss=0.78835
Epoch 72: loss=0.78075
Epoch 73: loss=0.76706
Epoch 74: loss=0.75393
Epoch 75: loss=0.74638
Epoch 76: loss=0.73609
Epoch 77: loss=0.72645
Epoch 78: loss=0.72124
Epoch 79: loss=0.71995
Epoch 80: loss=0.71326
