/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
init done
Epoch 1: loss=3.31300
Epoch 2: loss=2.89233
Epoch 3: loss=2.79912
Epoch 4: loss=2.69586
Epoch 5: loss=2.58884
Epoch 6: loss=2.48191
Epoch 7: loss=2.38361
Epoch 8: loss=2.27695
Epoch 9: loss=2.18096
Epoch 10: loss=2.09206
Epoch 11: loss=2.00791
Epoch 12: loss=1.94289
Epoch 13: loss=1.87728
Epoch 14: loss=1.81738
Epoch 15: loss=1.76667
Epoch 16: loss=1.71020
Epoch 17: loss=1.66435
Epoch 18: loss=1.61793
Epoch 19: loss=1.57743
Epoch 20: loss=1.54074
Epoch 21: loss=1.50111
Epoch 22: loss=1.46857
Epoch 23: loss=1.42362
Epoch 24: loss=1.39277
Epoch 25: loss=1.35675
Epoch 26: loss=1.33306
Epoch 27: loss=1.30140
Epoch 28: loss=1.27853
Epoch 29: loss=1.24778
Epoch 30: loss=1.22531
Epoch 31: loss=1.19644
Epoch 32: loss=1.16728
Epoch 33: loss=1.14758
Epoch 34: loss=1.12212
Epoch 35: loss=1.09834
Epoch 36: loss=1.08046
Epoch 37: loss=1.06144
Epoch 38: loss=1.04416
Epoch 39: loss=1.02320
Epoch 40: loss=1.00128
Epoch 41: loss=0.98748
Epoch 42: loss=0.97218
Epoch 43: loss=0.95551
Epoch 44: loss=0.94606
Epoch 45: loss=0.92111
Epoch 46: loss=0.90722
Epoch 47: loss=0.89317
Epoch 48: loss=0.87627
Epoch 49: loss=0.86100
Epoch 50: loss=0.85518
Epoch 51: loss=0.83979
Epoch 52: loss=0.82799
Epoch 53: loss=0.81255
Epoch 54: loss=0.79728
Epoch 55: loss=0.78939
Epoch 56: loss=0.77853
Epoch 57: loss=0.76717
Epoch 58: loss=0.75457
Epoch 59: loss=0.74709
Epoch 60: loss=0.73915
Epoch 61: loss=0.72685
Epoch 62: loss=0.71769
Epoch 63: loss=0.71258
Epoch 64: loss=0.70122
Epoch 65: loss=0.69605
Epoch 66: loss=0.67777
Epoch 67: loss=0.66778
Epoch 68: loss=0.66465
Epoch 69: loss=0.65218
Epoch 70: loss=0.64089
Epoch 71: loss=0.63483
Epoch 72: loss=0.62743
Epoch 73: loss=0.61765
Epoch 74: loss=0.61640
Epoch 75: loss=0.60779
Epoch 76: loss=0.59810
Epoch 77: loss=0.59176
Epoch 78: loss=0.57732
Epoch 79: loss=0.57842
Epoch 80: loss=0.57629
Epoch 81: loss=0.56322
Epoch 82: loss=0.55699
Epoch 83: loss=0.54739
Epoch 84: loss=0.54206
Epoch 85: loss=0.53727
Epoch 86: loss=0.52821
Epoch 87: loss=0.52060
Epoch 88: loss=0.52603
Epoch 89: loss=0.51508
Epoch 90: loss=0.50675
Epoch 91: loss=0.49854
Epoch 92: loss=0.50173
Epoch 93: loss=0.49668
Epoch 94: loss=0.49462
Epoch 95: loss=0.48414
Epoch 96: loss=0.47811
Epoch 97: loss=0.47607
Epoch 98: loss=0.47439
Epoch 99: loss=0.45953
Epoch 100: loss=0.46669
Epoch 101: loss=0.45245
Epoch 102: loss=0.44568
Epoch 103: loss=0.44236
Epoch 104: loss=0.43305
Epoch 105: loss=0.42922
Epoch 106: loss=0.43003
Epoch 107: loss=0.42839
Epoch 108: loss=0.42315
Epoch 109: loss=0.41892
Epoch 110: loss=0.41221
Epoch 111: loss=0.41004
Epoch 112: loss=0.39982
Epoch 113: loss=0.39647
Epoch 114: loss=0.39614
Epoch 115: loss=0.39343
Epoch 116: loss=0.38647
Epoch 117: loss=0.38372
Epoch 118: loss=0.38168
Epoch 119: loss=0.37708
Epoch 120: loss=0.37241
Epoch 121: loss=0.36918
Epoch 122: loss=0.36171
Epoch 123: loss=0.35770
Epoch 124: loss=0.35475
Epoch 125: loss=0.35271
Epoch 126: loss=0.34704
Epoch 127: loss=0.35125
Epoch 128: loss=0.34823
Epoch 129: loss=0.34900
Epoch 130: loss=0.34299
Epoch 131: loss=0.33129
Epoch 132: loss=0.33828
Epoch 133: loss=0.33375
Epoch 134: loss=0.33670
Epoch 135: loss=0.32541
Epoch 136: loss=0.31886
Epoch 137: loss=0.31366
Epoch 138: loss=0.31671
Epoch 139: loss=0.31409
Epoch 140: loss=0.30808
