/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/dataset/shddataset/
The file is present.
tensor([[ 0.0458, -0.0865, -0.0040,  ..., -0.0219,  0.0413,  0.0040],
        [-0.1568,  0.0498, -0.0307,  ..., -0.0343, -0.0555, -0.0063],
        [-0.1723, -0.0132, -0.0069,  ..., -0.0199,  0.0046, -0.1480],
        ...,
        [ 0.0185, -0.0046,  0.0216,  ..., -0.0391, -0.0378, -0.0538],
        [ 0.0266, -0.0897, -0.0183,  ..., -0.0663, -0.0229, -0.0084],
        [-0.0123, -0.0205, -0.0342,  ...,  0.0333, -0.0884, -0.0286]],
       device='cuda:0', requires_grad=True)
tensor([[-1.1935e-01,  4.5278e-04, -4.1420e-01,  ..., -1.9459e-02,
          5.5431e-02, -1.1454e-02],
        [-7.1728e-02, -1.6210e-01, -1.3545e-02,  ..., -5.4433e-02,
          9.4826e-02, -1.3386e-01],
        [-8.6782e-02, -3.5256e-01, -2.1132e-01,  ..., -4.2371e-03,
          1.3799e-01, -2.4764e-01],
        ...,
        [-1.3727e-01, -2.0739e-01,  2.2735e-01,  ..., -8.7053e-02,
         -4.8393e-01, -1.6899e-01],
        [-8.0332e-02, -6.3669e-02, -4.8487e-02,  ..., -8.7856e-03,
         -2.9301e-01, -1.9368e-01],
        [-1.7039e-02, -1.4743e-01, -3.5593e-01,  ..., -4.0446e-02,
         -1.7507e-01, -1.4428e-01]], device='cuda:0', requires_grad=True)
tensor([[-0.1093, -0.0992, -0.1869,  ..., -0.1208, -0.1235,  0.0623],
        [-0.1043,  0.0390, -0.1897,  ..., -0.1828, -0.2239, -0.0004],
        [-0.0391, -0.2631, -0.0516,  ..., -0.0035, -0.2742, -0.1697],
        ...,
        [-0.2767,  0.0396, -0.1690,  ...,  0.0813, -0.1620,  0.1003],
        [-0.1076, -0.2355, -0.1763,  ..., -0.2693, -0.2005, -0.0920],
        [-0.1538, -0.0617, -0.1756,  ..., -0.2552, -0.1641,  0.0087]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=1.11423
Epoch 2: loss=1.11563
Epoch 3: loss=1.11621
Epoch 4: loss=1.11119
Epoch 5: loss=1.11247
Epoch 6: loss=1.11003
Epoch 7: loss=1.11292
Epoch 8: loss=1.11974
Epoch 9: loss=1.12037
Epoch 10: loss=1.11080
Trained for 10 epochs
Training accuracy: 0.675
Epoch 1: loss=1.11216
Epoch 2: loss=1.11166
Epoch 3: loss=1.11079
Epoch 4: loss=1.11094
Epoch 5: loss=1.10819
Epoch 6: loss=1.10938
Epoch 7: loss=1.10400
Epoch 8: loss=1.11543
Epoch 9: loss=1.11341
Epoch 10: loss=1.11160
Epoch 11: loss=1.11485
Epoch 12: loss=1.11107
Epoch 13: loss=1.11145
Epoch 14: loss=1.11160
Epoch 15: loss=1.10968
Epoch 16: loss=1.11219
Epoch 17: loss=1.10826
Epoch 18: loss=1.11360
Epoch 19: loss=1.11446
Epoch 20: loss=1.12098
Epoch 21: loss=1.10928
Epoch 22: loss=1.11312
Epoch 23: loss=1.10772
Epoch 24: loss=1.11036
Epoch 25: loss=1.11710
Epoch 26: loss=1.11255
Epoch 27: loss=1.11217
Epoch 28: loss=1.11010
Epoch 29: loss=1.10185
Epoch 30: loss=1.11056
Epoch 31: loss=1.10442
Epoch 32: loss=1.10799
Epoch 33: loss=1.10566
Epoch 34: loss=1.10986
Epoch 35: loss=1.11139
Epoch 36: loss=1.10714
Epoch 37: loss=1.11360
Epoch 38: loss=1.10914
Epoch 39: loss=1.10930
Epoch 40: loss=1.10863
Epoch 41: loss=1.10778
Epoch 42: loss=1.10468
Epoch 43: loss=1.10528
Epoch 44: loss=1.10858
Epoch 45: loss=1.11105
Epoch 46: loss=1.10755
Epoch 47: loss=1.11209
Epoch 48: loss=1.10253
Epoch 49: loss=1.10738
Epoch 50: loss=1.10448
Epoch 51: loss=1.10797
Epoch 52: loss=1.11175
Epoch 53: loss=1.11493
Epoch 54: loss=1.11030
Epoch 55: loss=1.11200
Epoch 56: loss=1.11190
Epoch 57: loss=1.10659
Epoch 58: loss=1.11395
Epoch 59: loss=1.11041
Epoch 60: loss=1.10006
Epoch 61: loss=1.10955
Epoch 62: loss=1.11174
Epoch 63: loss=1.11349
Epoch 64: loss=1.10170
Epoch 65: loss=1.10400
Epoch 66: loss=1.10406
Epoch 67: loss=1.10032
Epoch 68: loss=1.10483
Epoch 69: loss=1.10656
Epoch 70: loss=1.10300
Epoch 71: loss=1.10677
Epoch 72: loss=1.10092
Epoch 73: loss=1.10309
Epoch 74: loss=1.10116
Epoch 75: loss=1.10049
Epoch 76: loss=1.09710
Epoch 77: loss=1.11208
Epoch 78: loss=1.11025
Epoch 79: loss=1.10172
Epoch 80: loss=1.09964
Epoch 81: loss=1.09910
Epoch 82: loss=1.10441
Epoch 83: loss=1.10001
Epoch 84: loss=1.09927
Epoch 85: loss=1.10996
Epoch 86: loss=1.10069
Epoch 87: loss=1.09845
Epoch 88: loss=1.09531
Epoch 89: loss=1.10040
Epoch 90: loss=1.09470
Epoch 91: loss=1.08948
Epoch 92: loss=1.09765
Epoch 93: loss=1.10478
Epoch 94: loss=1.09725
Epoch 95: loss=1.08891
Epoch 96: loss=1.10131
Epoch 97: loss=1.10249
Epoch 98: loss=1.10111
Epoch 99: loss=1.09723
Epoch 100: loss=1.10480
Epoch 101: loss=1.10792
Epoch 102: loss=1.09607
Epoch 103: loss=1.10842
Epoch 104: loss=1.09361
Epoch 105: loss=1.10835
Epoch 106: loss=1.10150
Epoch 107: loss=1.09753
Epoch 108: loss=1.10097
Epoch 109: loss=1.10500
Epoch 110: loss=1.10025
Epoch 111: loss=1.09833
Epoch 112: loss=1.09842
Epoch 113: loss=1.09715
Epoch 114: loss=1.09626
Epoch 115: loss=1.09736
Epoch 116: loss=1.09711
Epoch 117: loss=1.09347
Epoch 118: loss=1.09285
Epoch 119: loss=1.09861
Epoch 120: loss=1.09918
Epoch 121: loss=1.10179
Epoch 122: loss=1.09995
Epoch 123: loss=1.10113
Epoch 124: loss=1.10317
Epoch 125: loss=1.09540
Epoch 126: loss=1.10604
Epoch 127: loss=1.10090
Epoch 128: loss=1.10340
Epoch 129: loss=1.09948
Epoch 130: loss=1.09089
Epoch 131: loss=1.09557
Epoch 132: loss=1.10228
Epoch 133: loss=1.09026
Epoch 134: loss=1.09198
Epoch 135: loss=1.09713
Epoch 136: loss=1.09196
Epoch 137: loss=1.09673
Epoch 138: loss=1.09940
Epoch 139: loss=1.09614
Epoch 140: loss=1.10255
Epoch 141: loss=1.10628
Epoch 142: loss=1.09532
Epoch 143: loss=1.10291
Epoch 144: loss=1.10174
Epoch 145: loss=1.10260
Epoch 146: loss=1.09453
Epoch 147: loss=1.10227
Epoch 148: loss=1.10703
Epoch 149: loss=1.10570
Epoch 150: loss=1.09689
Epoch 151: loss=1.09766
Epoch 152: loss=1.09443
Epoch 153: loss=1.09907
Epoch 154: loss=1.09008
Epoch 155: loss=1.09866
Epoch 156: loss=1.10067
Epoch 157: loss=1.09692
Epoch 158: loss=1.09294
Epoch 159: loss=1.09823
Epoch 160: loss=1.08429
Epoch 161: loss=1.09625
Epoch 162: loss=1.09165
Epoch 163: loss=1.09846
Epoch 164: loss=1.09422
Epoch 165: loss=1.10311
Epoch 166: loss=1.09301
Epoch 167: loss=1.09342
Epoch 168: loss=1.09736
Epoch 169: loss=1.09252
Epoch 170: loss=1.09477
Epoch 171: loss=1.09356
Epoch 172: loss=1.09709
Epoch 173: loss=1.09746
Epoch 174: loss=1.09523
Epoch 175: loss=1.09882
Epoch 176: loss=1.10119
Epoch 177: loss=1.09545
Epoch 178: loss=1.10191
Epoch 179: loss=1.09942
Epoch 180: loss=1.09876
Epoch 181: loss=1.09006
Epoch 182: loss=1.09484
Epoch 183: loss=1.09248
Epoch 184: loss=1.09558
Epoch 185: loss=1.09445
Epoch 186: loss=1.09343
Epoch 187: loss=1.08697
Epoch 188: loss=1.09888
Epoch 189: loss=1.09222
Epoch 190: loss=1.09624
Epoch 191: loss=1.09553
Epoch 192: loss=1.08964
Epoch 193: loss=1.09281
Epoch 194: loss=1.09374
Epoch 195: loss=1.09446
Epoch 196: loss=1.09500
Epoch 197: loss=1.09079
Epoch 198: loss=1.09151
Epoch 199: loss=1.09743
Epoch 200: loss=1.09620
Epoch 201: loss=1.08205
Epoch 202: loss=1.09053
Epoch 203: loss=1.09176
Epoch 204: loss=1.08583
Epoch 205: loss=1.09111
Epoch 206: loss=1.10480
Epoch 207: loss=1.09100
Epoch 208: loss=1.08415
Epoch 209: loss=1.08726
Epoch 210: loss=1.08730
Epoch 211: loss=1.08609
Epoch 212: loss=1.08165
Epoch 213: loss=1.09302
Epoch 214: loss=1.09328
Epoch 215: loss=1.09234
Epoch 216: loss=1.08889
Epoch 217: loss=1.08675
Epoch 218: loss=1.08668
Epoch 219: loss=1.08463
Epoch 220: loss=1.09520
Epoch 221: loss=1.10070
Epoch 222: loss=1.09298
Epoch 223: loss=1.08455
Epoch 224: loss=1.08309
Epoch 225: loss=1.08266
Epoch 226: loss=1.08830
Epoch 227: loss=1.08635
Epoch 228: loss=1.08989
Epoch 229: loss=1.08713
Epoch 230: loss=1.09299
Epoch 231: loss=1.08693
Epoch 232: loss=1.09069
Epoch 233: loss=1.09011
Epoch 234: loss=1.08649
Epoch 235: loss=1.08481
Epoch 236: loss=1.09073
Epoch 237: loss=1.09010
Epoch 238: loss=1.08988
Epoch 239: loss=1.08784
Epoch 240: loss=1.08672
Epoch 241: loss=1.09020
Epoch 242: loss=1.08713
Epoch 243: loss=1.08782
Epoch 244: loss=1.07677
Epoch 245: loss=1.08378
Epoch 246: loss=1.08920
Epoch 247: loss=1.08278
Epoch 248: loss=1.08113
Epoch 249: loss=1.07553
Epoch 250: loss=1.09141
Epoch 251: loss=1.08245
Epoch 252: loss=1.08129
Epoch 253: loss=1.07598
Epoch 254: loss=1.08498
Epoch 255: loss=1.09099
Epoch 256: loss=1.07732
Epoch 257: loss=1.08385
Epoch 258: loss=1.09106
Epoch 259: loss=1.07952
Epoch 260: loss=1.07438
Epoch 261: loss=1.07743
Epoch 262: loss=1.08321
Epoch 263: loss=1.07912
Epoch 264: loss=1.08707
Epoch 265: loss=1.09368
Epoch 266: loss=1.08051
Epoch 267: loss=1.08624
Epoch 268: loss=1.08307
Epoch 269: loss=1.09032
Epoch 270: loss=1.08332
Epoch 271: loss=1.08077
Epoch 272: loss=1.08740
Epoch 273: loss=1.08109
Epoch 274: loss=1.08863
Epoch 275: loss=1.08051
Epoch 276: loss=1.08369
Epoch 277: loss=1.08106
Epoch 278: loss=1.07826
Epoch 279: loss=1.08202
Epoch 280: loss=1.07794
Epoch 281: loss=1.07653
Epoch 282: loss=1.08190
Epoch 283: loss=1.08290
Epoch 284: loss=1.07497
Epoch 285: loss=1.07185
Epoch 286: loss=1.07477
Epoch 287: loss=1.08476
Epoch 288: loss=1.07901
Epoch 289: loss=1.07983
Epoch 290: loss=1.07739
Epoch 291: loss=1.08286
Epoch 292: loss=1.08149
Epoch 293: loss=1.07779
Epoch 294: loss=1.07555
