/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-0.3736, -0.2455, -0.2761,  ..., -0.2507, -0.0999, -0.2041],
        [-0.6135, -0.0575, -0.3016,  ..., -0.1898, -0.2959,  0.0298],
        [-0.7343, -0.1748, -0.3905,  ..., -0.0220,  0.0534, -0.4840],
        ...,
        [-0.3045, -0.2113, -0.0228,  ..., -0.1193, -0.2526, -0.1382],
        [-0.3156, -0.2966, -0.2647,  ..., -0.4898, -0.2091, -0.0882],
        [-0.3192,  0.1217,  0.0259,  ..., -0.1116, -0.2686, -0.0308]],
       device='cuda:0', requires_grad=True)
tensor([[-1.1935e-01,  2.5824e-01, -7.6443e-01,  ..., -1.9459e-02,
          2.0575e-01, -5.5422e-02],
        [-7.1728e-02,  4.7595e-05, -2.3849e-01,  ..., -5.4433e-02,
          3.4058e-01, -3.6486e-01],
        [-8.6782e-02, -1.3744e-01, -7.9667e-02,  ..., -4.2371e-03,
          4.4955e-01, -6.6662e-01],
        ...,
        [-1.3727e-01, -3.3590e-01,  2.7114e-01,  ..., -8.7053e-02,
         -6.4802e-01, -2.9401e-01],
        [-8.0332e-02, -2.9058e-02, -1.8089e-01,  ..., -8.7856e-03,
         -6.6557e-01,  5.0227e-04],
        [-1.7039e-02, -1.8887e-01, -2.9383e-01,  ..., -4.0446e-02,
         -7.6995e-01, -5.7581e-01]], device='cuda:0', requires_grad=True)
tensor([[-0.4598, -0.3321, -0.5993,  ..., -0.2426, -0.3340, -0.0669],
        [-0.5171, -0.2974, -0.4404,  ..., -0.3059, -0.3842, -0.1044],
        [-0.5260, -0.3956, -0.3425,  ..., -0.1133, -0.4943, -0.4111],
        ...,
        [-0.4188,  0.0022, -0.2674,  ..., -0.0952, -0.2755,  0.0119],
        [-0.2402, -0.5427, -0.2895,  ..., -0.4518, -0.3092, -0.4333],
        [-0.6714, -0.2286, -0.3511,  ..., -0.3248, -0.4162,  0.3887]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=0.91174
Epoch 2: loss=0.90587
Epoch 3: loss=0.91171
Epoch 4: loss=0.91180
Epoch 5: loss=0.91188
Epoch 6: loss=0.91387
Epoch 7: loss=0.91062
Epoch 8: loss=0.90974
Epoch 9: loss=0.91195
Epoch 10: loss=0.91930
Trained for 10 epochs
Training accuracy: 0.736
Epoch 1: loss=0.91292
Epoch 2: loss=0.91192
Epoch 3: loss=0.92172
Epoch 4: loss=0.92229
Epoch 5: loss=0.92083
Epoch 6: loss=0.91194
Epoch 7: loss=0.90727
Epoch 8: loss=0.92293
Epoch 9: loss=0.93055
Epoch 10: loss=0.91206
Epoch 11: loss=0.90525
Epoch 12: loss=0.92132
Epoch 13: loss=0.91916
Epoch 14: loss=0.92096
Epoch 15: loss=0.92096
Epoch 16: loss=0.91764
Epoch 17: loss=0.90960
Epoch 18: loss=0.91854
Epoch 19: loss=0.91524
Epoch 20: loss=0.91893
Epoch 21: loss=0.91693
Epoch 22: loss=0.92078
Epoch 23: loss=0.91044
Epoch 24: loss=0.91885
Epoch 25: loss=0.91866
Epoch 26: loss=0.91916
Epoch 27: loss=0.91895
Epoch 28: loss=0.92652
Epoch 29: loss=0.91063
Epoch 30: loss=0.91583
Epoch 31: loss=0.91442
Epoch 32: loss=0.90591
Epoch 33: loss=0.91372
Epoch 34: loss=0.91483
Epoch 35: loss=0.91330
Epoch 36: loss=0.91196
Epoch 37: loss=0.91488
Epoch 38: loss=0.91465
Epoch 39: loss=0.90237
Epoch 40: loss=0.91411
Epoch 41: loss=0.91552
Epoch 42: loss=0.90931
Epoch 43: loss=0.91138
Epoch 44: loss=0.90433
Epoch 45: loss=0.90948
Epoch 46: loss=0.91554
Epoch 47: loss=0.91360
Epoch 48: loss=0.90965
Epoch 49: loss=0.90828
Epoch 50: loss=0.91370
Epoch 51: loss=0.91128
Epoch 52: loss=0.90975
Epoch 53: loss=0.91630
Epoch 54: loss=0.92013
Epoch 55: loss=0.91354
Epoch 56: loss=0.91386
Epoch 57: loss=0.91706
Epoch 58: loss=0.91103
Epoch 59: loss=0.91268
Epoch 60: loss=0.91150
Epoch 61: loss=0.91575
Epoch 62: loss=0.91188
Epoch 63: loss=0.90820
Epoch 64: loss=0.91961
Epoch 65: loss=0.91707
Epoch 66: loss=0.90707
Epoch 67: loss=0.92283
Epoch 68: loss=0.91603
Epoch 69: loss=0.91534
Epoch 70: loss=0.91556
Epoch 71: loss=0.91586
Epoch 72: loss=0.91225
Epoch 73: loss=0.91376
Epoch 74: loss=0.90796
Epoch 75: loss=0.90774
Epoch 76: loss=0.90174
Epoch 77: loss=0.91651
Epoch 78: loss=0.90694
Epoch 79: loss=0.90829
Epoch 80: loss=0.91274
Epoch 81: loss=0.91154
Epoch 82: loss=0.90661
Epoch 83: loss=0.92135
Epoch 84: loss=0.91331
Epoch 85: loss=0.91436
Epoch 86: loss=0.90715
Epoch 87: loss=0.90585
Epoch 88: loss=0.91108
Epoch 89: loss=0.91215
Epoch 90: loss=0.90851
Epoch 91: loss=0.90581
Epoch 92: loss=0.90590
Epoch 93: loss=0.91149
Epoch 94: loss=0.89899
Epoch 95: loss=0.90825
Epoch 96: loss=0.91998
Epoch 97: loss=0.91337
Epoch 98: loss=0.90767
Epoch 99: loss=0.90306
Epoch 100: loss=0.91599
Epoch 101: loss=0.91905
Epoch 102: loss=0.91680
Epoch 103: loss=0.90861
Epoch 104: loss=0.90867
Epoch 105: loss=0.90469
Epoch 106: loss=0.90567
Epoch 107: loss=0.90926
Epoch 108: loss=0.90995
Epoch 109: loss=0.90797
Epoch 110: loss=0.92047
Epoch 111: loss=0.91109
Epoch 112: loss=0.91350
Epoch 113: loss=0.91531
Epoch 114: loss=0.91397
Epoch 115: loss=0.91642
Epoch 116: loss=0.91375
Epoch 117: loss=0.91433
Epoch 118: loss=0.91714
Epoch 119: loss=0.90456
Epoch 120: loss=0.91906
Epoch 121: loss=0.91607
Epoch 122: loss=0.90935
Epoch 123: loss=0.90525
Epoch 124: loss=0.91090
Epoch 125: loss=0.90455
Epoch 126: loss=0.91074
Epoch 127: loss=0.90661
Epoch 128: loss=0.90893
Epoch 129: loss=0.91307
Epoch 130: loss=0.91637
Epoch 131: loss=0.91284
Epoch 132: loss=0.91789
Epoch 133: loss=0.91039
Epoch 134: loss=0.91595
Epoch 135: loss=0.91764
Epoch 136: loss=0.91459
Epoch 137: loss=0.91331
Epoch 138: loss=0.91818
Epoch 139: loss=0.91240
Epoch 140: loss=0.90828
Epoch 141: loss=0.90195
Epoch 142: loss=0.91673
Epoch 143: loss=0.91272
Epoch 144: loss=0.91788
Epoch 145: loss=0.90952
Epoch 146: loss=0.91171
Epoch 147: loss=0.91158
Epoch 148: loss=0.90019
Epoch 149: loss=0.91099
Epoch 150: loss=0.90813
Epoch 151: loss=0.90588
Epoch 152: loss=0.91165
Epoch 153: loss=0.91332
Epoch 154: loss=0.90210
Epoch 155: loss=0.90642
Epoch 156: loss=0.90673
Epoch 157: loss=0.90705
Epoch 158: loss=0.90921
Epoch 159: loss=0.90462
Epoch 160: loss=0.90523
Epoch 161: loss=0.91290
Epoch 162: loss=0.90647
Epoch 163: loss=0.91043
Epoch 164: loss=0.90772
Epoch 165: loss=0.90841
Epoch 166: loss=0.90389
Epoch 167: loss=0.90536
Epoch 168: loss=0.90661
Epoch 169: loss=0.90030
Epoch 170: loss=0.89798
Epoch 171: loss=0.90755
Epoch 172: loss=0.90639
Epoch 173: loss=0.89970
Epoch 174: loss=0.90666
Epoch 175: loss=0.89966
Epoch 176: loss=0.89962
Epoch 177: loss=0.90282
Epoch 178: loss=0.90177
Epoch 179: loss=0.89997
Epoch 180: loss=0.89430
Epoch 181: loss=0.90689
Epoch 182: loss=0.89995
Epoch 183: loss=0.90815
Epoch 184: loss=0.89741
Epoch 185: loss=0.90705
Epoch 186: loss=0.89715
Epoch 187: loss=0.90677
Epoch 188: loss=0.90006
Epoch 189: loss=0.91084
Epoch 190: loss=0.90502
Epoch 191: loss=0.90871
Epoch 192: loss=0.90353
Epoch 193: loss=0.90337
Epoch 194: loss=0.90852
Epoch 195: loss=0.90873
Epoch 196: loss=0.90113
Epoch 197: loss=0.90313
Epoch 198: loss=0.90624
Epoch 199: loss=0.90073
Epoch 200: loss=0.90022
Epoch 201: loss=0.91298
Epoch 202: loss=0.90701
Epoch 203: loss=0.90644
Epoch 204: loss=0.90476
Epoch 205: loss=0.91474
Epoch 206: loss=0.91181
Epoch 207: loss=0.90291
Epoch 208: loss=0.89927
Epoch 209: loss=0.89943
Epoch 210: loss=0.90563
Epoch 211: loss=0.89356
Epoch 212: loss=0.89283
Epoch 213: loss=0.90397
Epoch 214: loss=0.90007
Epoch 215: loss=0.90154
Epoch 216: loss=0.89998
Epoch 217: loss=0.90100
Epoch 218: loss=0.90618
