/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-0.3610, -2.3167, -1.9746,  ..., -3.2252, -0.5963, -1.4834],
        [-1.4581, -1.0466, -0.5882,  ..., -0.9008, -1.1421, -1.0790],
        [-0.0522, -1.4315, -0.1142,  ..., -0.9705, -0.8276,  0.7891],
        ...,
        [ 0.1446, -0.8416, -1.0746,  ..., -1.1749, -0.9562, -1.2608],
        [-1.7045, -1.3255, -1.1135,  ..., -2.2779, -1.8273, -2.2416],
        [-1.5353, -1.6639, -1.1640,  ..., -1.1907,  0.1112, -1.1944]],
       device='cuda:0', requires_grad=True)
tensor([[-1.6970, -0.4947, -0.5425,  ..., -0.4996, -0.4867,  0.8449],
        [-0.2553, -0.3501,  1.0250,  ..., -0.0455, -1.0165, -0.0323],
        [-1.8515, -0.3746, -1.8158,  ..., -2.2758, -0.5424, -0.3080],
        ...,
        [ 0.1234, -0.4138,  0.9848,  ..., -0.7052, -1.8402, -1.2661],
        [-0.4643,  0.3681, -0.5034,  ..., -0.9554, -1.3559,  1.7471],
        [-1.1847, -0.7523, -0.7144,  ..., -1.2308, -0.4767, -0.0596]],
       device='cuda:0', requires_grad=True)
tensor([[-0.1793,  0.0996, -0.7757,  ..., -0.5092, -0.1869, -0.1887],
        [ 0.4834, -1.5804, -1.1418,  ..., -1.1749,  0.6107, -0.0967],
        [-0.9813, -2.5243, -3.0353,  ..., -1.5125, -0.2938, -0.2180],
        ...,
        [-0.4230, -2.1671, -0.3268,  ..., -4.7979, -0.5880, -0.5858],
        [-0.0852, -1.6018, -0.8601,  ..., -2.0786,  0.1199, -0.2688],
        [-0.3775, -0.1245, -0.3189,  ..., -0.8394, -0.1800,  0.0265]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=0.41564
Epoch 2: loss=0.39442
Epoch 3: loss=0.44335
Epoch 4: loss=0.40494
Epoch 5: loss=0.35497
Epoch 6: loss=0.39691
Epoch 7: loss=0.41333
Epoch 8: loss=0.44514
Epoch 9: loss=0.41481
Epoch 10: loss=0.41897
Trained for 10 epochs
Training accuracy: 0.933
Epoch 1: loss=0.40924
Epoch 2: loss=0.42237
Epoch 3: loss=0.42067
Epoch 4: loss=0.38633
Epoch 5: loss=0.38166
Epoch 6: loss=0.39559
Epoch 7: loss=0.42305
Epoch 8: loss=0.41829
Epoch 9: loss=0.41107
Epoch 10: loss=0.40511
Epoch 11: loss=0.40403
Epoch 12: loss=0.40986
Epoch 13: loss=0.43917
Epoch 14: loss=0.39067
Epoch 15: loss=0.39980
Epoch 16: loss=0.40339
Epoch 17: loss=0.41367
Epoch 18: loss=0.39396
Epoch 19: loss=0.39557
Epoch 20: loss=0.36106
Epoch 21: loss=0.36309
Epoch 22: loss=0.39218
Epoch 23: loss=0.38023
Epoch 24: loss=0.40246
Epoch 25: loss=0.39054
Epoch 26: loss=0.42407
Epoch 27: loss=0.38032
Epoch 28: loss=0.38465
Epoch 29: loss=0.37404
Epoch 30: loss=0.42493
Epoch 31: loss=0.41406
Epoch 32: loss=0.40691
Epoch 33: loss=0.42124
Epoch 34: loss=0.39703
Epoch 35: loss=0.41923
Epoch 36: loss=0.39252
Epoch 37: loss=0.36536
Epoch 38: loss=0.39509
Epoch 39: loss=0.37473
Epoch 40: loss=0.38659
Epoch 41: loss=0.42118
Epoch 42: loss=0.39669
Epoch 43: loss=0.36936
Epoch 44: loss=0.37605
Epoch 45: loss=0.37356
Epoch 46: loss=0.40390
Epoch 47: loss=0.43744
Epoch 48: loss=0.36289
Epoch 49: loss=0.38763
Epoch 50: loss=0.38680
Epoch 51: loss=0.37743
Epoch 52: loss=0.39408
Epoch 53: loss=0.36242
Epoch 54: loss=0.36453
Epoch 55: loss=0.38902
Epoch 56: loss=0.38903
Epoch 57: loss=0.37791
Epoch 58: loss=0.41235
Epoch 59: loss=0.37782
Epoch 60: loss=0.42890
Epoch 61: loss=0.42774
Epoch 62: loss=0.41498
Epoch 63: loss=0.37918
Epoch 64: loss=0.39345
Epoch 65: loss=0.40890
Epoch 66: loss=0.37463
Epoch 67: loss=0.39847
Epoch 68: loss=0.37004
Epoch 69: loss=0.40459
Epoch 70: loss=0.39444
Epoch 71: loss=0.37210
Epoch 72: loss=0.37758
Epoch 73: loss=0.38939
Epoch 74: loss=0.40030
Epoch 75: loss=0.40178
Epoch 76: loss=0.39389
Epoch 77: loss=0.41451
Epoch 78: loss=0.39285
Epoch 79: loss=0.35777
Epoch 80: loss=0.35985
Epoch 81: loss=0.36509
Epoch 82: loss=0.35390
Epoch 83: loss=0.41051
Epoch 84: loss=0.42960
Epoch 85: loss=0.36128
Epoch 86: loss=0.36195
Epoch 87: loss=0.39191
Epoch 88: loss=0.39111
Epoch 89: loss=0.43431
Epoch 90: loss=0.40013
Epoch 91: loss=0.36121
Epoch 92: loss=0.37412
Epoch 93: loss=0.38907
Epoch 94: loss=0.40021
Epoch 95: loss=0.36876
Epoch 96: loss=0.39218
Epoch 97: loss=0.36949
Epoch 98: loss=0.40703
Epoch 99: loss=0.39545
Epoch 100: loss=0.42344
Epoch 101: loss=0.40231
Epoch 102: loss=0.44249
Epoch 103: loss=0.40104
Epoch 104: loss=0.40691
Epoch 105: loss=0.38785
Epoch 106: loss=0.38455
Epoch 107: loss=0.35385
Epoch 108: loss=0.34280
Epoch 109: loss=0.35984
Epoch 110: loss=0.40263
Epoch 111: loss=0.39392
Epoch 112: loss=0.43787
Epoch 113: loss=0.38827
Epoch 114: loss=0.37896
Epoch 115: loss=0.39575
Epoch 116: loss=0.39723
Epoch 117: loss=0.39173
Epoch 118: loss=0.38235
Epoch 119: loss=0.43982
Epoch 120: loss=0.41919
Epoch 121: loss=0.37272
Epoch 122: loss=0.39198
Epoch 123: loss=0.40975
Epoch 124: loss=0.41497
Epoch 125: loss=0.39653
Epoch 126: loss=0.44232
Epoch 127: loss=0.40906
Epoch 128: loss=0.41785
Epoch 129: loss=0.40929
Epoch 130: loss=0.38582
Epoch 131: loss=0.40915
Epoch 132: loss=0.44576
Epoch 133: loss=0.42537
Epoch 134: loss=0.37936
Epoch 135: loss=0.36790
Epoch 136: loss=0.40444
Epoch 137: loss=0.39437
Epoch 138: loss=0.38391
Epoch 139: loss=0.41126
Epoch 140: loss=0.38380
Epoch 141: loss=0.39012
Epoch 142: loss=0.40114
Epoch 143: loss=0.38447
Epoch 144: loss=0.38114
Epoch 145: loss=0.41778
Epoch 146: loss=0.39185
Epoch 147: loss=0.40475
Epoch 148: loss=0.40093
Epoch 149: loss=0.42562
Epoch 150: loss=0.39131
Epoch 151: loss=0.38837
Epoch 152: loss=0.37717
Epoch 153: loss=0.39915
Epoch 154: loss=0.40890
Epoch 155: loss=0.36630
Epoch 156: loss=0.39455
Epoch 157: loss=0.36260
Epoch 158: loss=0.38916
Epoch 159: loss=0.39333
Epoch 160: loss=0.38841
Epoch 161: loss=0.36663
Epoch 162: loss=0.38483
Epoch 163: loss=0.35476
