/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-1.0854, -0.1810, -0.9407,  ..., -1.3855, -0.6153, -0.7512],
        [-1.7564, -1.5672, -1.0484,  ..., -0.8781, -1.0226, -0.8090],
        [ 0.9105, -1.8818, -1.3495,  ...,  0.7388,  0.4542, -1.7807],
        ...,
        [ 0.7383, -2.4313, -0.7777,  ..., -1.7840,  0.1801, -0.0568],
        [-0.0131, -1.4173, -0.0481,  ..., -0.6385,  0.2983,  0.4341],
        [-0.2972, -1.7800, -0.4565,  ...,  0.2562, -0.9843, -1.3083]],
       device='cuda:0', requires_grad=True)
tensor([[-1.4559, -0.1539, -4.4904,  ..., -1.0279,  0.6447, -0.1701],
        [-1.9789,  0.5428, -0.9725,  ...,  2.5774, -2.2132,  1.8750],
        [-0.3073, -1.1458, -1.4527,  ..., -1.2566, -0.4650, -1.8051],
        ...,
        [-2.8283, -0.3483, -0.1629,  ..., -2.7538, -3.1104, -0.3321],
        [-1.1702,  0.6954, -4.9634,  ...,  0.6831,  0.6071,  0.0810],
        [-0.8593, -0.9991, -0.4759,  ...,  0.8367, -2.1736, -2.4665]],
       device='cuda:0', requires_grad=True)
tensor([[-4.4406,  0.6089, -0.3512,  ..., -1.2794, -4.9976,  0.0971],
        [-0.6770, -0.5586, -0.1530,  ..., -0.7739, -0.8094, -0.3633],
        [-0.8437, -0.2988, -0.2985,  ..., -0.5558, -0.8103, -0.2657],
        ...,
        [-1.7489, -0.1720, -0.3758,  ..., -0.8637, -1.7494, -0.3874],
        [-4.9316,  0.3314, -0.2202,  ..., -1.9049, -3.6093, -0.1050],
        [-0.9729, -0.1106, -0.0669,  ..., -0.6381, -0.7035, -0.4861]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=0.28269
Epoch 2: loss=0.31088
Epoch 3: loss=0.30111
Epoch 4: loss=0.30453
Epoch 5: loss=0.31328
Epoch 6: loss=0.30743
Epoch 7: loss=0.30309
Epoch 8: loss=0.30325
Epoch 9: loss=0.28087
Epoch 10: loss=0.28198
Trained for 10 epochs
Training accuracy: 0.928
Epoch 1: loss=0.29531
Epoch 2: loss=0.29040
Epoch 3: loss=0.29458
Epoch 4: loss=0.28088
Epoch 5: loss=0.29800
Epoch 6: loss=0.29654
Epoch 7: loss=0.29264
Epoch 8: loss=0.30786
Epoch 9: loss=0.30179
Epoch 10: loss=0.30271
Epoch 11: loss=0.33256
Epoch 12: loss=0.31504
Epoch 13: loss=0.31137
Epoch 14: loss=0.30695
Epoch 15: loss=0.30656
Epoch 16: loss=0.30029
Epoch 17: loss=0.30448
Epoch 18: loss=0.29606
Epoch 19: loss=0.29510
Epoch 20: loss=0.30054
Epoch 21: loss=0.29867
Epoch 22: loss=0.30084
Epoch 23: loss=0.32684
Epoch 24: loss=0.30806
Epoch 25: loss=0.30792
Epoch 26: loss=0.28294
Epoch 27: loss=0.29439
Epoch 28: loss=0.30018
Epoch 29: loss=0.29643
Epoch 30: loss=0.30292
Epoch 31: loss=0.30561
Epoch 32: loss=0.30721
Epoch 33: loss=0.30918
Epoch 34: loss=0.30505
Epoch 35: loss=0.29523
Epoch 36: loss=0.28729
Epoch 37: loss=0.30493
Epoch 38: loss=0.30650
Epoch 39: loss=0.29662
Epoch 40: loss=0.29357
Epoch 41: loss=0.31441
Epoch 42: loss=0.33046
Epoch 43: loss=0.30507
Epoch 44: loss=0.30940
Epoch 45: loss=0.29076
Epoch 46: loss=0.29314
Epoch 47: loss=0.32388
Epoch 48: loss=0.28211
Epoch 49: loss=0.30472
Epoch 50: loss=0.28626
Epoch 51: loss=0.29022
Epoch 52: loss=0.30659
Epoch 53: loss=0.29450
Epoch 54: loss=0.31214
Epoch 55: loss=0.30121
Epoch 56: loss=0.29287
Epoch 57: loss=0.32047
Epoch 58: loss=0.31094
Epoch 59: loss=0.29634
Epoch 60: loss=0.30299
Epoch 61: loss=0.30221
Epoch 62: loss=0.29664
Epoch 63: loss=0.29033
Epoch 64: loss=0.31869
Epoch 65: loss=0.30856
Epoch 66: loss=0.30216
Epoch 67: loss=0.29634
Epoch 68: loss=0.27904
Epoch 69: loss=0.28842
Epoch 70: loss=0.30664
Epoch 71: loss=0.30146
Epoch 72: loss=0.29717
Epoch 73: loss=0.31375
Epoch 74: loss=0.30336
Epoch 75: loss=0.28954
Epoch 76: loss=0.31465
Epoch 77: loss=0.30904
Epoch 78: loss=0.29138
Epoch 79: loss=0.30589
Epoch 80: loss=0.30825
Epoch 81: loss=0.31484
Epoch 82: loss=0.28759
Epoch 83: loss=0.30416
Epoch 84: loss=0.29987
Epoch 85: loss=0.29493
Epoch 86: loss=0.28940
Epoch 87: loss=0.28821
Epoch 88: loss=0.29549
Epoch 89: loss=0.29354
Epoch 90: loss=0.29209
Epoch 91: loss=0.28455
Epoch 92: loss=0.29231
Epoch 93: loss=0.30920
Epoch 94: loss=0.30637
Epoch 95: loss=0.29795
Epoch 96: loss=0.32324
Epoch 97: loss=0.30402
Epoch 98: loss=0.29514
Epoch 99: loss=0.30784
Epoch 100: loss=0.33261
Epoch 101: loss=0.30762
Epoch 102: loss=0.30174
Epoch 103: loss=0.30751
Epoch 104: loss=0.29475
Epoch 105: loss=0.31741
Epoch 106: loss=0.30353
Epoch 107: loss=0.31901
Epoch 108: loss=0.30569
Epoch 109: loss=0.30063
Epoch 110: loss=0.30552
Epoch 111: loss=0.28633
Epoch 112: loss=0.29636
Epoch 113: loss=0.29965
Epoch 114: loss=0.29988
Epoch 115: loss=0.30034
Epoch 116: loss=0.30908
Epoch 117: loss=0.27210
Epoch 118: loss=0.31625
Epoch 119: loss=0.28109
Epoch 120: loss=0.30485
Epoch 121: loss=0.29996
Epoch 122: loss=0.30148
Epoch 123: loss=0.30368
Epoch 124: loss=0.29200
Epoch 125: loss=0.32285
Epoch 126: loss=0.30891
Epoch 127: loss=0.30274
Epoch 128: loss=0.29424
Epoch 129: loss=0.30163
Epoch 130: loss=0.32152
Epoch 131: loss=0.30551
Epoch 132: loss=0.30416
Epoch 133: loss=0.30607
Epoch 134: loss=0.29899
Epoch 135: loss=0.30907
Epoch 136: loss=0.29553
Epoch 137: loss=0.30127
Epoch 138: loss=0.30189
Epoch 139: loss=0.29216
Epoch 140: loss=0.27772
Epoch 141: loss=0.27868
Epoch 142: loss=0.29492
Epoch 143: loss=0.28555
Epoch 144: loss=0.29277
Epoch 145: loss=0.29473
Epoch 146: loss=0.30363
Epoch 147: loss=0.31182
Epoch 148: loss=0.30272
Epoch 149: loss=0.28904
Epoch 150: loss=0.27763
Epoch 151: loss=0.30154
Epoch 152: loss=0.29957
Epoch 153: loss=0.27849
Epoch 154: loss=0.29308
Epoch 155: loss=0.32144
Epoch 156: loss=0.30045
Epoch 157: loss=0.29760
Epoch 158: loss=0.31356
Epoch 159: loss=0.29698
Epoch 160: loss=0.31478
Epoch 161: loss=0.29442
Epoch 162: loss=0.30076
Epoch 163: loss=0.29957
Epoch 164: loss=0.28304
Epoch 165: loss=0.30708
Epoch 166: loss=0.32033
Epoch 167: loss=0.29759
Epoch 168: loss=0.29653
Epoch 169: loss=0.32271
Epoch 170: loss=0.29257
Epoch 171: loss=0.29142
Epoch 172: loss=0.31593
Epoch 173: loss=0.31369
Epoch 174: loss=0.32110
Epoch 175: loss=0.30160
Epoch 176: loss=0.30345
Epoch 177: loss=0.32099
Epoch 178: loss=0.30038
Epoch 179: loss=0.30206
Epoch 180: loss=0.32339
Epoch 181: loss=0.31079
Epoch 182: loss=0.30897
Epoch 183: loss=0.29975
Epoch 184: loss=0.29964
Epoch 185: loss=0.30860
Epoch 186: loss=0.30129
Epoch 187: loss=0.29882
Epoch 188: loss=0.29305
Epoch 189: loss=0.32200
Epoch 190: loss=0.31767
Epoch 191: loss=0.30099
Epoch 192: loss=0.28285
Epoch 193: loss=0.28552
Epoch 194: loss=0.29145
Epoch 195: loss=0.31477
Epoch 196: loss=0.31233
Epoch 197: loss=0.30983
Epoch 198: loss=0.30147
Epoch 199: loss=0.31034
Epoch 200: loss=0.28655
Epoch 201: loss=0.27898
Epoch 202: loss=0.30633
Epoch 203: loss=0.30668
Epoch 204: loss=0.29772
Epoch 205: loss=0.30241
Epoch 206: loss=0.29010
Epoch 207: loss=0.30284
Epoch 208: loss=0.29168
Epoch 209: loss=0.28987
Epoch 210: loss=0.29848
Epoch 211: loss=0.29033
Epoch 212: loss=0.30003
Epoch 213: loss=0.31529
Epoch 214: loss=0.28563
Epoch 215: loss=0.29767
Epoch 216: loss=0.30952
Epoch 217: loss=0.29529
Epoch 218: loss=0.30767
Epoch 219: loss=0.30807
Epoch 220: loss=0.31570
Epoch 221: loss=0.28841
Epoch 222: loss=0.30045
Epoch 223: loss=0.30891
Epoch 224: loss=0.32753
Epoch 225: loss=0.30150
Epoch 226: loss=0.31024
Epoch 227: loss=0.30734
Epoch 228: loss=0.30462
Epoch 229: loss=0.28503
Epoch 230: loss=0.30253
Epoch 231: loss=0.31571
Epoch 232: loss=0.30964
Epoch 233: loss=0.30049
Epoch 234: loss=0.29778
Epoch 235: loss=0.29678
Epoch 236: loss=0.31316
Epoch 237: loss=0.29935
Epoch 238: loss=0.30085
Epoch 239: loss=0.29245
Epoch 240: loss=0.28008
Epoch 241: loss=0.28572
Epoch 242: loss=0.29008
Epoch 243: loss=0.31382
