/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/dataset/shddataset/
The file is present.
tensor([[ 0.0462,  0.0102,  0.0723,  ...,  0.0544, -0.0174, -0.0168],
        [-0.1185,  0.0010, -0.0097,  ...,  0.0648, -0.1509, -0.1472],
        [-0.0164,  0.0162,  0.0206,  ...,  0.1099,  0.0064, -0.0839],
        ...,
        [-0.0573,  0.0811, -0.0140,  ...,  0.0185, -0.0178, -0.0511],
        [-0.0140,  0.0434, -0.0102,  ...,  0.0135,  0.0197,  0.1059],
        [ 0.0353, -0.0147,  0.0373,  ...,  0.0678,  0.0259,  0.0131]],
       device='cuda:0', requires_grad=True)
tensor([[-0.1455, -0.0720, -0.4756,  ..., -0.0312,  0.0296,  0.1548],
        [-0.0815, -0.0642, -0.2745,  ..., -0.0384, -0.0169,  0.1139],
        [-0.1210, -0.0912, -0.1672,  ..., -0.0517, -0.3236, -0.1962],
        ...,
        [-0.0316, -0.0023, -0.3373,  ..., -0.0867, -0.1422, -0.3105],
        [-0.1121, -0.0058, -0.4748,  ..., -0.1562,  0.0919,  0.0009],
        [-0.1146, -0.0987,  0.0930,  ..., -0.1094, -0.5861, -0.0544]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.1092, -0.1450, -0.1100,  ...,  0.0130,  0.0970, -0.2215],
        [-0.0737,  0.1466, -0.2300,  ..., -0.1268, -0.0312, -0.4631],
        [-0.3731, -0.1666, -0.0439,  ..., -0.2316, -0.2115, -0.3983],
        ...,
        [-0.1030, -0.1131, -0.0221,  ..., -0.0947, -0.1381, -0.4759],
        [-0.1073, -0.0491, -0.2083,  ..., -0.1883, -0.1541, -0.3013],
        [-0.2104, -0.0513, -0.2394,  ..., -0.0925, -0.2973, -0.2777]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=1.24411
Epoch 2: loss=1.24390
Epoch 3: loss=1.23820
Epoch 4: loss=1.25359
Epoch 5: loss=1.23437
Epoch 6: loss=1.24382
Epoch 7: loss=1.23901
Epoch 8: loss=1.23314
Epoch 9: loss=1.24127
Epoch 10: loss=1.24729
Trained for 10 epochs
Training accuracy: 0.645
Epoch 1: loss=1.24026
Epoch 2: loss=1.24700
Epoch 3: loss=1.25108
Epoch 4: loss=1.24478
Epoch 5: loss=1.24014
Epoch 6: loss=1.24166
Epoch 7: loss=1.23769
Epoch 8: loss=1.23946
Epoch 9: loss=1.24681
Epoch 10: loss=1.24548
Epoch 11: loss=1.24054
Epoch 12: loss=1.24030
Epoch 13: loss=1.23775
Epoch 14: loss=1.24955
Epoch 15: loss=1.23281
Epoch 16: loss=1.23687
Epoch 17: loss=1.24918
Epoch 18: loss=1.23902
Epoch 19: loss=1.23820
Epoch 20: loss=1.24488
Epoch 21: loss=1.24845
Epoch 22: loss=1.24232
Epoch 23: loss=1.23984
Epoch 24: loss=1.24506
Epoch 25: loss=1.24499
Epoch 26: loss=1.25161
Epoch 27: loss=1.23683
Epoch 28: loss=1.24527
Epoch 29: loss=1.23576
Epoch 30: loss=1.24197
Epoch 31: loss=1.24251
Epoch 32: loss=1.23537
Epoch 33: loss=1.24079
Epoch 34: loss=1.23489
Epoch 35: loss=1.22862
Epoch 36: loss=1.23293
Epoch 37: loss=1.24240
Epoch 38: loss=1.24435
Epoch 39: loss=1.23623
Epoch 40: loss=1.23692
Epoch 41: loss=1.24540
Epoch 42: loss=1.24376
Epoch 43: loss=1.24177
Epoch 44: loss=1.24275
Epoch 45: loss=1.24059
Epoch 46: loss=1.24103
Epoch 47: loss=1.23412
Epoch 48: loss=1.23916
Epoch 49: loss=1.23949
