/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
The file is present.
tensor([[-1.6044,  0.4729, -2.4271,  ...,  0.1904, -1.1197, -1.4282],
        [ 0.3887, -0.7843, -0.6588,  ..., -0.3656, -0.6211, -1.1720],
        [-0.3856, -1.1471, -0.4307,  ...,  0.6913, -0.7211, -1.0215],
        ...,
        [-0.0080, -0.2538, -0.9702,  ..., -1.1901, -0.5222,  0.6477],
        [ 0.5920,  1.0174,  1.0977,  ..., -0.2145, -0.4894, -0.1639],
        [-0.6937,  0.3161, -0.5045,  ..., -0.8619, -0.6123, -1.0198]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.2241,  0.9458, -2.0821,  ..., -0.6025, -0.0052, -0.2620],
        [-0.8491, -0.8706,  0.4532,  ...,  0.4946, -0.5669, -1.5401],
        [-2.5729,  0.6892, -0.8113,  ..., -0.0893, -0.8501,  0.3688],
        ...,
        [-2.4287, -1.9116, -1.3283,  ..., -2.7402, -3.3932, -1.9269],
        [-1.1485,  0.5633, -1.6684,  ..., -0.1708,  1.8651,  0.9164],
        [-0.2138,  0.2835, -1.1681,  ..., -0.8012, -1.5062, -0.5599]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.3730, -0.7199, -2.7721,  ..., -0.5563, -2.0616, -1.1178],
        [-0.2028, -0.2531, -1.2940,  ..., -0.2246, -1.7258, -1.0482],
        [-0.5435, -0.1332, -3.4372,  ..., -0.8261, -1.0437, -1.9632],
        ...,
        [-1.2031,  0.6812, -0.6977,  ...,  1.0181, -0.2643, -1.5972],
        [-0.7280, -0.2888, -2.3855,  ..., -0.1570, -2.9318, -1.6714],
        [-1.0321, -0.5443, -2.7570,  ..., -0.3563, -2.8538, -2.0518]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=0.60564
Epoch 2: loss=0.61335
Epoch 3: loss=0.59177
Epoch 4: loss=0.58906
Epoch 5: loss=0.61685
Epoch 6: loss=0.55924
Epoch 7: loss=0.61044
Epoch 8: loss=0.58658
Epoch 9: loss=0.60198
Epoch 10: loss=0.58358
Trained for 10 epochs
Training accuracy: 0.871
Epoch 1: loss=0.55520
Epoch 2: loss=0.58980
Epoch 3: loss=0.58618
Epoch 4: loss=0.58408
Epoch 5: loss=0.61122
Epoch 6: loss=0.60239
Epoch 7: loss=0.55396
Epoch 8: loss=0.60428
Epoch 9: loss=0.61231
Epoch 10: loss=0.56994
Epoch 11: loss=0.57411
Epoch 12: loss=0.58281
Epoch 13: loss=0.57006
Epoch 14: loss=0.59005
Epoch 15: loss=0.58152
Epoch 16: loss=0.57467
Epoch 17: loss=0.57650
Epoch 18: loss=0.56487
Epoch 19: loss=0.57394
Epoch 20: loss=0.56020
Epoch 21: loss=0.57686
Epoch 22: loss=0.54190
Epoch 23: loss=0.57989
Epoch 24: loss=0.58275
Epoch 25: loss=0.56646
Epoch 26: loss=0.56874
Epoch 27: loss=0.58013
Epoch 28: loss=0.60295
Epoch 29: loss=0.59051
Epoch 30: loss=0.55822
Epoch 31: loss=0.57344
Epoch 32: loss=0.56800
Epoch 33: loss=0.57086
Epoch 34: loss=0.57661
Epoch 35: loss=0.54116
Epoch 36: loss=0.56448
Epoch 37: loss=0.56295
Epoch 38: loss=0.54749
Epoch 39: loss=0.57263
Epoch 40: loss=0.56440
Epoch 41: loss=0.58900
Epoch 42: loss=0.58214
Epoch 43: loss=0.58029
Epoch 44: loss=0.55341
Epoch 45: loss=0.56303
Epoch 46: loss=0.56324
Epoch 47: loss=0.56538
Epoch 48: loss=0.58755
Epoch 49: loss=0.56326
