/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/dataset/shddataset/
cuda
time constants of neurons halved and time steps is 100
made weight variables and loss histogram
The file is present.
tensor([[-0.0697, -0.0163, -0.0264,  ..., -0.0743, -0.0216, -0.0039],
        [-0.0712, -0.0055, -0.0933,  ..., -0.0707, -0.1054, -0.0705],
        [-0.0431,  0.0223, -0.1029,  ..., -0.1277, -0.0502, -0.0391],
        ...,
        [-0.0043,  0.0050, -0.0012,  ..., -0.1535, -0.0107, -0.0119],
        [-0.0019, -0.0132, -0.0577,  ..., -0.1152, -0.0168,  0.0092],
        [ 0.0151,  0.0035, -0.0146,  ..., -0.1432, -0.0260, -0.0142]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.2380,  0.0195,  0.2101,  ...,  0.2030, -0.7405,  0.0198],
        [ 0.2393, -0.1288, -0.4830,  ..., -0.3085, -0.1514, -0.2426],
        [ 0.0056, -0.1455, -0.1701,  ...,  0.1499, -0.5299, -0.0199],
        ...,
        [ 0.1358, -0.2019,  0.0861,  ...,  0.1112, -0.5035,  0.0187],
        [-0.0892,  0.1122,  0.1017,  ...,  0.1359, -0.6922, -0.1055],
        [-0.1638,  0.0113, -0.1649,  ..., -0.1118, -0.0043, -0.2674]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=0.28848
Epoch 2: loss=0.28212
Epoch 3: loss=0.28534
Epoch 4: loss=0.28736
Epoch 5: loss=0.28611
Epoch 6: loss=0.28471
Epoch 7: loss=0.27959
Epoch 8: loss=0.28296
Epoch 9: loss=0.29036
Epoch 10: loss=0.28193
Trained for 10 epochs
Training accuracy: 0.948
Epoch 1: loss=0.27567
Epoch 2: loss=0.27247
Epoch 3: loss=0.27477
Epoch 4: loss=0.27330
Epoch 5: loss=0.27974
Epoch 6: loss=0.27408
Epoch 7: loss=0.27661
Epoch 8: loss=0.27611
Epoch 9: loss=0.27444
Epoch 10: loss=0.27102
Epoch 11: loss=0.26874
Epoch 12: loss=0.28179
Epoch 13: loss=0.27404
Epoch 14: loss=0.27328
Epoch 15: loss=0.26803
Epoch 16: loss=0.26964
Epoch 17: loss=0.26813
Epoch 18: loss=0.27016
Epoch 19: loss=0.26945
Epoch 20: loss=0.26477
Epoch 21: loss=0.26599
Epoch 22: loss=0.27232
Epoch 23: loss=0.26647
Epoch 24: loss=0.26833
Epoch 25: loss=0.26628
Epoch 26: loss=0.26729
Epoch 27: loss=0.26447
Epoch 28: loss=0.26609
Epoch 29: loss=0.27037
Epoch 30: loss=0.26358
Epoch 31: loss=0.25861
Epoch 32: loss=0.26498
Epoch 33: loss=0.26663
Epoch 34: loss=0.26730
Epoch 35: loss=0.26181
Epoch 36: loss=0.25891
Epoch 37: loss=0.25741
Epoch 38: loss=0.26366
Epoch 39: loss=0.25506
Epoch 40: loss=0.25206
Epoch 41: loss=0.25581
Epoch 42: loss=0.25830
Epoch 43: loss=0.25623
Epoch 44: loss=0.25657
Epoch 45: loss=0.24860
Epoch 46: loss=0.25514
Epoch 47: loss=0.25775
Epoch 48: loss=0.26053
Epoch 49: loss=0.26046
Epoch 50: loss=0.25904
Epoch 51: loss=0.25213
Epoch 52: loss=0.25711
Epoch 53: loss=0.24898
Epoch 54: loss=0.25099
Epoch 55: loss=0.25590
Epoch 56: loss=0.25382
Epoch 57: loss=0.25576
Epoch 58: loss=0.25237
Epoch 59: loss=0.24818
Epoch 60: loss=0.25028
Epoch 61: loss=0.24792
Epoch 62: loss=0.24997
Epoch 63: loss=0.25294
Epoch 64: loss=0.25886
Epoch 65: loss=0.24868
Epoch 66: loss=0.24973
Epoch 67: loss=0.24460
Epoch 68: loss=0.24722
Epoch 69: loss=0.24341
Epoch 70: loss=0.24488
Epoch 71: loss=0.25040
Epoch 72: loss=0.24547
Epoch 73: loss=0.24728
Epoch 74: loss=0.24318
Epoch 75: loss=0.24647
Epoch 76: loss=0.24230
Epoch 77: loss=0.24293
Epoch 78: loss=0.24197
Epoch 79: loss=0.24412
Epoch 80: loss=0.24435
Epoch 81: loss=0.24148
Epoch 82: loss=0.24632
Epoch 83: loss=0.24117
Epoch 84: loss=0.23998
Epoch 85: loss=0.23966
Epoch 86: loss=0.23751
Epoch 87: loss=0.23922
Epoch 88: loss=0.24068
Epoch 89: loss=0.24102
Epoch 90: loss=0.23575
Epoch 91: loss=0.23614
Epoch 92: loss=0.23960
Epoch 93: loss=0.23431
Epoch 94: loss=0.24370
Epoch 95: loss=0.23553
Epoch 96: loss=0.24232
Epoch 97: loss=0.22836
Epoch 98: loss=0.23298
Epoch 99: loss=0.23374
Epoch 100: loss=0.23319
Epoch 101: loss=0.22914
Epoch 102: loss=0.23676
Epoch 103: loss=0.23054
Epoch 104: loss=0.23314
Epoch 105: loss=0.23383
Epoch 106: loss=0.23634
Epoch 107: loss=0.23313
Epoch 108: loss=0.23205
Epoch 109: loss=0.23405
Epoch 110: loss=0.23163
Epoch 111: loss=0.23208
Epoch 112: loss=0.23464
Epoch 113: loss=0.23029
Epoch 114: loss=0.22319
Epoch 115: loss=0.22833
Epoch 116: loss=0.22441
Epoch 117: loss=0.22545
Epoch 118: loss=0.22965
Epoch 119: loss=0.22944
Epoch 120: loss=0.23119
Epoch 121: loss=0.23124
Epoch 122: loss=0.22898
Epoch 123: loss=0.22349
Epoch 124: loss=0.22557
Epoch 125: loss=0.22516
Epoch 126: loss=0.22697
Epoch 127: loss=0.23099
Epoch 128: loss=0.22185
Epoch 129: loss=0.22226
Epoch 130: loss=0.22633
Epoch 131: loss=0.22428
Epoch 132: loss=0.22806
Epoch 133: loss=0.22592
Epoch 134: loss=0.22356
Epoch 135: loss=0.22228
Epoch 136: loss=0.22104
Epoch 137: loss=0.22489
Epoch 138: loss=0.22378
Epoch 139: loss=0.22055
Epoch 140: loss=0.22414
Epoch 141: loss=0.22625
Epoch 142: loss=0.22022
Epoch 143: loss=0.22024
Epoch 144: loss=0.21761
Epoch 145: loss=0.22027
Epoch 146: loss=0.21481
Epoch 147: loss=0.22103
Epoch 148: loss=0.22157
Epoch 149: loss=0.22000
Epoch 150: loss=0.21775
Epoch 151: loss=0.22071
Epoch 152: loss=0.21943
Epoch 153: loss=0.22159
Epoch 154: loss=0.22128
Epoch 155: loss=0.21878
Epoch 156: loss=0.21645
Epoch 157: loss=0.21564
Epoch 158: loss=0.22224
Epoch 159: loss=0.21481
Epoch 160: loss=0.21473
Epoch 161: loss=0.22247
Epoch 162: loss=0.21979
Epoch 163: loss=0.21690
Epoch 164: loss=0.21342
Epoch 165: loss=0.21274
Epoch 166: loss=0.21984
Epoch 167: loss=0.21597
Epoch 168: loss=0.21888
Epoch 169: loss=0.21421
Epoch 170: loss=0.21251
Epoch 171: loss=0.21391
Epoch 172: loss=0.21045
Epoch 173: loss=0.21975
Epoch 174: loss=0.21283
Epoch 175: loss=0.21208
Epoch 176: loss=0.20646
Epoch 177: loss=0.21025
Epoch 178: loss=0.20713
Epoch 179: loss=0.21061
Epoch 180: loss=0.21367
Epoch 181: loss=0.20858
Epoch 182: loss=0.20992
Epoch 183: loss=0.20893
Epoch 184: loss=0.20811
Epoch 185: loss=0.21336
Epoch 186: loss=0.20975
Epoch 187: loss=0.20226
Epoch 188: loss=0.20572
Epoch 189: loss=0.20993
Epoch 190: loss=0.20955
Epoch 191: loss=0.20595
Epoch 192: loss=0.20214
Epoch 193: loss=0.21002
Epoch 194: loss=0.20763
Epoch 195: loss=0.20386
Epoch 196: loss=0.20768
Epoch 197: loss=0.20692
Epoch 198: loss=0.20257
Epoch 199: loss=0.20926
Epoch 200: loss=0.20753
Epoch 201: loss=0.20841
Epoch 202: loss=0.21023
Epoch 203: loss=0.20972
Epoch 204: loss=0.20777
Epoch 205: loss=0.20511
Epoch 206: loss=0.20492
Epoch 207: loss=0.20206
Epoch 208: loss=0.20766
Epoch 209: loss=0.20579
Epoch 210: loss=0.20253
Epoch 211: loss=0.20656
Epoch 212: loss=0.21004
Epoch 213: loss=0.19686
Epoch 214: loss=0.19701
Epoch 215: loss=0.19577
Epoch 216: loss=0.19792
Epoch 217: loss=0.20173
Epoch 218: loss=0.19911
Epoch 219: loss=0.20294
Epoch 220: loss=0.20142
Epoch 221: loss=0.19843
Epoch 222: loss=0.20392
Epoch 223: loss=0.20179
Epoch 224: loss=0.19991
Epoch 225: loss=0.20293
Epoch 226: loss=0.20072
Epoch 227: loss=0.19929
Epoch 228: loss=0.19910
Epoch 229: loss=0.20144
Epoch 230: loss=0.20312
Epoch 231: loss=0.19928
Epoch 232: loss=0.19885
Epoch 233: loss=0.19551
Epoch 234: loss=0.19770
Epoch 235: loss=0.19403
Epoch 236: loss=0.19833
Epoch 237: loss=0.20099
Epoch 238: loss=0.20370
Epoch 239: loss=0.19514
Epoch 240: loss=0.19899
Epoch 241: loss=0.19224
Epoch 242: loss=0.19701
