/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/dataset/shddataset/
cuda
time constants of neurons halved and time steps is 100
made weight variables and loss histogram
The file is present.
tensor([[-0.2393, -0.0803, -0.0254,  ..., -0.2374, -0.1183,  0.0142],
        [-0.1879, -0.0534, -0.1962,  ..., -0.3177, -0.2466, -0.0996],
        [-0.1195,  0.0457, -0.2745,  ..., -0.4157, -0.0763, -0.0880],
        ...,
        [-0.0128, -0.0041, -0.0060,  ..., -0.4153, -0.0249, -0.0123],
        [-0.0278, -0.0242, -0.0915,  ..., -0.4069, -0.0260,  0.0156],
        [ 0.0192,  0.0067, -0.0339,  ..., -0.3893, -0.0267, -0.0095]],
       device='cuda:0', requires_grad=True)
tensor([[ 0.3545,  0.0819,  0.3122,  ...,  0.3092, -1.1824,  0.0531],
        [ 0.2308, -0.2322, -0.8007,  ..., -0.5994, -0.2531, -0.4366],
        [-0.0151, -0.3080, -0.3069,  ...,  0.2578, -0.7156, -0.0173],
        ...,
        [-0.0526, -0.3592,  0.1534,  ..., -0.0553, -0.5728, -0.0317],
        [-0.1981,  0.1507,  0.1717,  ...,  0.2692, -1.0891, -0.1886],
        [-0.2474,  0.0592, -0.2277,  ..., -0.1978, -0.0388, -0.4985]],
       device='cuda:0', requires_grad=True)
Epoch 1: loss=0.16757
Epoch 2: loss=0.16717
Epoch 3: loss=0.17537
Epoch 4: loss=0.16961
Epoch 5: loss=0.16716
Epoch 6: loss=0.17449
Epoch 7: loss=0.17170
Epoch 8: loss=0.17362
Epoch 9: loss=0.17059
Epoch 10: loss=0.17373
Trained for 10 epochs
Training accuracy: 0.983
Epoch 1: loss=0.17064
Epoch 2: loss=0.16969
Epoch 3: loss=0.16923
Epoch 4: loss=0.17064
Epoch 5: loss=0.17371
Epoch 6: loss=0.17331
Epoch 7: loss=0.18284
Epoch 8: loss=0.17202
Epoch 9: loss=0.16959
Epoch 10: loss=0.17141
Epoch 11: loss=0.16506
Epoch 12: loss=0.17200
Epoch 13: loss=0.16698
Epoch 14: loss=0.17143
Epoch 15: loss=0.16784
Epoch 16: loss=0.17014
Epoch 17: loss=0.16797
Epoch 18: loss=0.16714
Epoch 19: loss=0.16712
Epoch 20: loss=0.16514
Epoch 21: loss=0.17438
Epoch 22: loss=0.17150
Epoch 23: loss=0.17387
Epoch 24: loss=0.16878
Epoch 25: loss=0.16412
Epoch 26: loss=0.17166
Epoch 27: loss=0.16554
Epoch 28: loss=0.16605
Epoch 29: loss=0.16918
Epoch 30: loss=0.16915
Epoch 31: loss=0.16993
Epoch 32: loss=0.17630
Epoch 33: loss=0.16897
Epoch 34: loss=0.16990
Epoch 35: loss=0.16737
Epoch 36: loss=0.16597
Epoch 37: loss=0.17544
Epoch 38: loss=0.17125
Epoch 39: loss=0.17084
Epoch 40: loss=0.17119
Epoch 41: loss=0.16652
Epoch 42: loss=0.16987
Epoch 43: loss=0.17125
Epoch 44: loss=0.16440
Epoch 45: loss=0.16690
Epoch 46: loss=0.16542
Epoch 47: loss=0.16991
Epoch 48: loss=0.17481
Epoch 49: loss=0.16813
Epoch 50: loss=0.17162
Epoch 51: loss=0.16341
Epoch 52: loss=0.16698
Epoch 53: loss=0.16514
Epoch 54: loss=0.16595
Epoch 55: loss=0.16753
Epoch 56: loss=0.17121
Epoch 57: loss=0.16772
Epoch 58: loss=0.16483
Epoch 59: loss=0.17157
Epoch 60: loss=0.17050
Epoch 61: loss=0.16932
Epoch 62: loss=0.17204
Epoch 63: loss=0.17091
Epoch 64: loss=0.16561
Epoch 65: loss=0.16820
